"Sample","Original duration (ms)","Original size (KB)","Original sample rate (fps)","Bitrate (Kbit/s)","MP3 compression time (ms)","MP3 Comp Time / Orig dur","MP3 size (KB)","MP3 rate","MP3 sample rate","MP3 Bit Rate","ACC compression time (ms)","ACC Comp Time / Orig dur","ACC size (KB)","ACC rate","ACC sample rate","ACC Bit Rate"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
"16_crash","1629.637","140.619140625","44100","320","147","0.09020413748583274","66.369140625","2.118742826873841","44100","320000","136","0.08345416801410376","46.6298828125","3.015644306687051","44100","225810"
